league,player_id,salary,season,season_end,season_start,team
NBA,millean01,150000,1994-95,1995,1994,Los Angeles Lakers
NBA,millean01,550000,1995-96,1996,1995,Los Angeles Lakers
NBA,millean01,272250,1997-98,1998,1997,Atlanta Hawks
NBA,millean01,475000,1998-99,1999,1998,Houston Rockets
NBA,millean01,30000,1999-00,2000,1999,Houston Rockets
NBA,millean01,40000,2000-01,2001,2000,Atlanta Hawks
NBA,millean01,34118,2004-05,2005,2004,Atlanta Hawks
NBA,millebr01,287500,1998-99,1999,1998,Charlotte Hornets
NBA,millebr01,385000,1999-00,2000,1999,Charlotte Hornets
NBA,millebr01,4000000,2000-01,2001,2000,Chicago Bulls
NBA,millebr01,4400000,2001-02,2002,2001,Chicago Bulls
NBA,millebr01,4800000,2002-03,2003,2002,Indiana Pacers
NBA,millebr01,7000000,2003-04,2004,2003,Sacramento Kings
NBA,millebr01,7875000,2004-05,2005,2004,Sacramento Kings
NBA,millebr01,8750000,2005-06,2006,2005,Sacramento Kings
NBA,millebr01,9625000,2006-07,2007,2006,Sacramento Kings
NBA,millebr01,10500000,2007-08,2008,2007,Sacramento Kings
NBA,millebr01,11375000,2008-09,2009,2008,Chicago Bulls
NBA,millebr01,12250000,2009-10,2010,2009,Chicago Bulls
NBA,millebr01,4400000,2010-11,2011,2010,Houston Rockets
NBA,millebr01,4752000,2011-12,2012,2011,Minnesota Timberwolves
NBA,millebr01,848000,2012-13,2013,2012,Phoenix Suns
NBA,milleda01,473604,2012-13,2013,2012,New Orleans Hornets
NBA,milleda01,788872,2013-14,2014,2013,New Orleans Pelicans
NBA,milleda01,400000,2014-15,2015,2014,New Orleans Pelicans
NBA,milleda01,2100000,2017-18,2018,2017,New Orleans Pelicans
NBA,millemi01,2320080,2000-01,2001,2000,Orlando Magic
NBA,millemi01,2494080,2001-02,2002,2001,Orlando Magic
NBA,millemi01,2668080,2002-03,2003,2002,Orlando Magic
NBA,millemi01,3380457,2003-04,2004,2003,Memphis Grizzlies
NBA,millemi01,6000000,2004-05,2005,2004,Memphis Grizzlies
NBA,millemi01,6750000,2005-06,2006,2005,Memphis Grizzlies
NBA,millemi01,7623813,2006-07,2007,2006,Memphis Grizzlies
NBA,millemi01,8376194,2007-08,2008,2007,Memphis Grizzlies
NBA,millemi01,9028575,2008-09,2009,2008,Minnesota Timberwolves
NBA,millemi01,9750000,2009-10,2010,2009,Washington Wizards
NBA,millemi01,5000000,2010-11,2011,2010,Miami Heat
NBA,millemi01,5400000,2011-12,2012,2011,Miami Heat
NBA,millemi01,5800000,2012-13,2013,2012,Miami Heat
NBA,millemi01,1399507,2013-14,2014,2013,Memphis Grizzlies
NBA,millemi01,6600000,2014-15,2015,2014,Miami Heat
NBA,millemi01,2732000,2014-15,2015,2014,Cleveland Cavaliers
NBA,millemi01,2854940,2015-16,2016,2015,Portland Trail Blazers
NBA,millemi01,1499187,2015-16,2016,2015,Denver Nuggets
NBA,millemi01,3500000,2016-17,2017,2016,Denver Nuggets
NBA,milleol01,517000,1992-93,1993,1992,Phoenix Suns
NBA,milleol01,672000,1993-94,1994,1993,Phoenix Suns
NBA,milleol01,1540000,1994-95,1995,1994,Detroit Pistons
NBA,milleol01,2372000,1995-96,1996,1995,Toronto Raptors
NBA,milleol01,247500,1996-97,1997,1996,Dallas Mavericks
NBA,milleol01,600000,1998-99,1999,1998,Sacramento Kings
NBA,milleol01,510000,1999-00,2000,1999,Phoenix Suns
NBA,milleol01,686838,2003-04,2004,2003,Minnesota Timberwolves
NBA,millequ01,473604,2012-13,2013,2012,Denver Nuggets
NBA,millequ01,788872,2013-14,2014,2013,Denver Nuggets
NBA,millequ01,150000,2014-15,2015,2014,Denver Nuggets
NBA,millequ01,107676,2014-15,2015,2014,Sacramento Kings
NBA,millequ01,107676,2014-15,2015,2014,Detroit Pistons
NBA,millequ01,50000,2015-16,2016,2015,Brooklyn Nets
NBA,millere01,254000,1987-88,1988,1987,Indiana Pacers
NBA,millere01,404000,1988-89,1989,1988,Indiana Pacers
NBA,millere01,654000,1990-91,1991,1990,Indiana Pacers
NBA,millere01,3211000,1991-92,1992,1991,Indiana Pacers
NBA,millere01,3211000,1992-93,1993,1992,Indiana Pacers
NBA,millere01,3011000,1993-94,1994,1993,Indiana Pacers
NBA,millere01,3210500,1994-95,1995,1994,Indiana Pacers
NBA,millere01,3211000,1995-96,1996,1995,Indiana Pacers
NBA,millere01,11250000,1996-97,1997,1996,Indiana Pacers
NBA,millere01,9031850,1997-98,1998,1997,Indiana Pacers
NBA,millere01,6781000,1998-99,1999,1998,Indiana Pacers
NBA,millere01,9031850,1999-00,2000,1999,Indiana Pacers
NBA,millere01,10670000,2000-01,2001,2000,Indiana Pacers
NBA,millere01,12045075,2001-02,2002,2001,Indiana Pacers
NBA,millere01,12046473,2002-03,2003,2002,Indiana Pacers
NBA,millere01,5000000,2003-04,2004,2003,Indiana Pacers
NBA,millere01,5500000,2004-05,2005,2004,Indiana Pacers
NBA,millere01,6000000,2005-06,2006,2005,Indiana Pacers
NBA,millsch01,650000,1993-94,1994,1993,Cleveland Cavaliers
NBA,millsch01,845000,1994-95,1995,1994,Cleveland Cavaliers
NBA,millsch01,1040000,1995-96,1996,1995,Cleveland Cavaliers
NBA,millsch01,1235000,1996-97,1997,1996,Cleveland Cavaliers
NBA,millsch01,3000000,1997-98,1998,1997,New York Knicks
NBA,millsch01,3600000,1998-99,1999,1998,Golden State Warriors
NBA,millsch01,4200000,1999-00,2000,1999,Golden State Warriors
NBA,millsch01,4800000,2000-01,2001,2000,Golden State Warriors
NBA,millsch01,5400000,2001-02,2002,2001,Golden State Warriors
NBA,millsch01,6000000,2002-03,2003,2002,Golden State Warriors
NBA,millsch01,6600000,2003-04,2004,2003,Boston Celtics
NBA,millspa02,457588,2009-10,2010,2009,Portland Trail Blazers
NBA,millspa02,937195,2010-11,2011,2010,Portland Trail Blazers
NBA,millspa02,1085120,2012-13,2013,2012,San Antonio Spurs
NBA,millspa02,1133950,2013-14,2014,2013,San Antonio Spurs
NBA,millspa02,3842105,2014-15,2015,2014,San Antonio Spurs
NBA,millspa02,3578947,2015-16,2016,2015,San Antonio Spurs
NBA,millspa02,3578948,2016-17,2017,2016,San Antonio Spurs
NBA,millspa02,10714286,2017-18,2018,2017,San Antonio Spurs
NBA,millste01,600000,1990-91,1991,1990,New Jersey Nets
NBA,millste01,850000,1991-92,1992,1991,New Jersey Nets
NBA,millste01,1337000,1992-93,1993,1992,Detroit Pistons
NBA,millste01,1614000,1993-94,1994,1993,Detroit Pistons
NBA,millste01,1897000,1994-95,1995,1994,Detroit Pistons
NBA,millste01,2177000,1995-96,1996,1995,Detroit Pistons
NBA,millste01,2457000,1996-97,1997,1996,Detroit Pistons
NBA,millste01,1000000,1997-98,1998,1997,Miami Heat
NBA,millste01,1145000,1998-99,1999,1998,Miami Heat
NBA,millste01,510000,1999-00,2000,1999,Detroit Pistons
NBA,millste01,1400000,2000-01,2001,2000,Dallas Mavericks
NBA,millste01,1000000,2000-01,2001,2000,Indiana Pacers
NBA,millsel01,241731,2014-15,2015,2014,Utah Jazz
NBA,millsel01,362878,2015-16,2016,2015,Utah Jazz
NBA,millsel01,23069,2016-17,2017,2016,Phoenix Suns
NBA,millspa01,625000,2006-07,2007,2006,Utah Jazz
NBA,millspa01,687456,2007-08,2008,2007,Utah Jazz
NBA,millspa01,797581,2008-09,2009,2008,Utah Jazz
NBA,millspa01,7692932,2009-10,2010,2009,Utah Jazz
NBA,millspa01,7600000,2010-11,2011,2010,Utah Jazz
NBA,millspa01,8103435,2011-12,2012,2011,Utah Jazz
NBA,millspa01,8603633,2012-13,2013,2012,Utah Jazz
NBA,millspa01,9500000,2013-14,2014,2013,Atlanta Hawks
NBA,millspa01,9500000,2014-15,2015,2014,Atlanta Hawks
NBA,millspa01,19000000,2015-16,2016,2015,Atlanta Hawks
NBA,millspa01,20072033,2016-17,2017,2016,Atlanta Hawks
NBA,millspa01,31269231,2017-18,2018,2017,Denver Nuggets
NBA,minerha01,912000,1992-93,1993,1992,Miami Heat
NBA,minerha01,1186000,1993-94,1994,1993,Miami Heat
NBA,minerha01,1459000,1994-95,1995,1994,Miami Heat
NBA,minerha01,1733000,1995-96,1996,1995,Cleveland Cavaliers
NBA,mingya01,3858240,2002-03,2003,2002,Houston Rockets
NBA,mingya01,4147560,2003-04,2004,2003,Houston Rockets
NBA,mingya01,4436880,2004-05,2005,2004,Houston Rockets
NBA,mingya01,5594906,2005-06,2006,2005,Houston Rockets
NBA,mingya01,12455000,2006-07,2007,2006,Houston Rockets
NBA,mingya01,13762775,2007-08,2008,2007,Houston Rockets
NBA,mingya01,15070550,2008-09,2009,2008,Houston Rockets
NBA,mingya01,16378325,2009-10,2010,2009,Houston Rockets
NBA,mingya01,17686100,2010-11,2011,2010,Houston Rockets
NBA,minnidi01,75000,1985-86,1986,1985,Cleveland Cavaliers
NBA,minnidi01,100000,1987-88,1988,1987,Boston Celtics
NBA,minorgr01,250000,1994-95,1995,1994,Boston Celtics
NBA,minorgr01,325000,1995-96,1996,1995,Boston Celtics
NBA,minorgr01,1800000,1996-97,1997,1996,Boston Celtics
NBA,minorgr01,2160000,1997-98,1998,1997,Boston Celtics
NBA,minorgr01,2520000,1998-99,1999,1998,Boston Celtics
NBA,minorgr01,2880000,1999-00,2000,1999,Boston Celtics
NBA,minorgr01,3240000,2000-01,2001,2000,Boston Celtics
NBA,mirotni01,5305000,2014-15,2015,2014,Chicago Bulls
NBA,mirotni01,5543725,2015-16,2016,2015,Chicago Bulls
NBA,mirotni01,5782450,2016-17,2017,2016,Chicago Bulls
NBA,mirotni01,12500000,2017-18,2018,2017,New Orleans Pelicans
NBA,miskija01,15982,1999-00,2000,1999,Charlotte Hornets
NBA,mitchdo01,2621280,2017-18,2018,2017,Utah Jazz
NBA,mitchmi01,790000,1984-85,1985,1984,San Antonio Spurs
NBA,mitchmi01,700000,1985-86,1986,1985,San Antonio Spurs
NBA,mitchmi01,750000,1987-88,1988,1987,San Antonio Spurs
NBA,mitchsa01,500000,1990-91,1991,1990,Minnesota Timberwolves
NBA,mitchsa01,630000,1991-92,1992,1991,Minnesota Timberwolves
NBA,mitchsa01,575000,1992-93,1993,1992,Indiana Pacers
NBA,mitchsa01,715000,1993-94,1994,1993,Indiana Pacers
NBA,mitchsa01,850000,1994-95,1995,1994,Indiana Pacers
NBA,mitchsa01,1000000,1995-96,1996,1995,Minnesota Timberwolves
NBA,mitchsa01,1200000,1996-97,1997,1996,Minnesota Timberwolves
NBA,mitchsa01,1400000,1997-98,1998,1997,Minnesota Timberwolves
NBA,mitchsa01,2000000,1999-00,2000,1999,Minnesota Timberwolves
NBA,mitchsa01,2370000,2000-01,2001,2000,Minnesota Timberwolves
NBA,mitchsa01,1000000,2001-02,2002,2001,Minnesota Timberwolves
NBA,mitchto02,816482,2014-15,2015,2014,Phoenix Suns
NBA,moblecu01,287500,1998-99,1999,1998,Houston Rockets
NBA,moblecu01,385000,1999-00,2000,1999,Houston Rockets
NBA,moblecu01,3920000,2000-01,2001,2000,Houston Rockets
NBA,moblecu01,4413375,2001-02,2002,2001,Houston Rockets
NBA,moblecu01,4903750,2002-03,2003,2002,Houston Rockets
NBA,moblecu01,5394125,2003-04,2004,2003,Houston Rockets
NBA,moblecu01,5884500,2004-05,2005,2004,Orlando Magic
NBA,moblecu01,7200000,2005-06,2006,2005,Los Angeles Clippers
NBA,moblecu01,8125000,2006-07,2007,2006,Los Angeles Clippers
NBA,moblecu01,8350000,2007-08,2008,2007,Los Angeles Clippers
NBA,moblecu01,9100000,2008-09,2009,2008,New York Knicks
NBA,moblecu01,9500000,2009-10,2010,2009,New York Knicks
NBA,mobleer01,620000,1994-95,1995,1994,Milwaukee Bucks
NBA,mobleer01,1328000,1995-96,1996,1995,Vancouver Grizzlies
NBA,mobleer01,992000,1996-97,1997,1996,Vancouver Grizzlies
NBA,mobleer01,1178000,1997-98,1998,1997,Vancouver Grizzlies
NBA,mohamna01,535000,1998-99,1999,1998,Philadelphia 76ers
NBA,mohamna01,690960,1999-00,2000,1999,Philadelphia 76ers
NBA,mohamna01,739080,2000-01,2001,2000,Philadelphia 76ers
NBA,mohamna01,4500000,2001-02,2002,2001,Atlanta Hawks
NBA,mohamna01,4750000,2002-03,2003,2002,Atlanta Hawks
NBA,mohamna01,5000000,2003-04,2004,2003,Atlanta Hawks
NBA,mohamna01,5250000,2004-05,2005,2004,New York Knicks
NBA,mohamna01,5500000,2005-06,2006,2005,San Antonio Spurs
NBA,mohamna01,5215000,2006-07,2007,2006,Detroit Pistons
NBA,mohamna01,5632200,2007-08,2008,2007,Charlotte Bobcats
NBA,mohamna01,6049400,2008-09,2009,2008,Charlotte Bobcats
NBA,mohamna01,6466600,2009-10,2010,2009,Charlotte Bobcats
NBA,mohamna01,6883800,2010-11,2011,2010,Oklahoma City Thunder
NBA,mohamna01,3750000,2011-12,2012,2011,Oklahoma City Thunder
NBA,mohamna01,1352181,2012-13,2013,2012,Chicago Bulls
NBA,mohamna01,1399507,2013-14,2014,2013,Chicago Bulls
NBA,mohamna01,1448490,2014-15,2015,2014,Chicago Bulls
NBA,mohamna01,352750,2015-16,2016,2015,Oklahoma City Thunder
NBA,moisoje01,1461960,2000-01,2001,2000,Boston Celtics
NBA,moisoje01,1571640,2001-02,2002,2001,Charlotte Hornets
NBA,moisoje01,1681200,2002-03,2003,2002,New Orleans Hornets
NBA,moisoje01,1600000,2003-04,2004,2003,Toronto Raptors
NBA,moisoje01,1760000,2004-05,2005,2004,Toronto Raptors
NBA,mokespa01,345000,1984-85,1985,1984,Milwaukee Bucks
NBA,mokespa01,370000,1985-86,1986,1985,Milwaukee Bucks
NBA,mokespa01,350000,1987-88,1988,1987,Milwaukee Bucks
NBA,mokespa01,375000,1988-89,1989,1988,Milwaukee Bucks
NBA,mokespa01,100000,1990-91,1991,1990,Golden State Warriors
NBA,moncrsi01,884000,1984-85,1985,1984,Milwaukee Bucks
NBA,moncrsi01,884000,1985-86,1986,1985,Milwaukee Bucks
NBA,moncrsi01,784000,1987-88,1988,1987,Milwaukee Bucks
NBA,moncrsi01,1100000,1988-89,1989,1988,Milwaukee Bucks
NBA,moncrsi01,510000,1990-91,1991,1990,Atlanta Hawks
NBA,moniase01,1016400,2005-06,2006,2005,Portland Trail Blazers
NBA,moniase01,100000,2006-07,2007,2006,Sacramento Kings
NBA,monkma01,2904480,2017-18,2018,2017,Charlotte Hornets
NBA,monrogr01,2798040,2010-11,2011,2010,Detroit Pistons
NBA,monrogr01,3007920,2011-12,2012,2011,Detroit Pistons
NBA,monrogr01,3217680,2012-13,2013,2012,Detroit Pistons
NBA,monrogr01,4086454,2013-14,2014,2013,Detroit Pistons
NBA,monrogr01,5479934,2014-15,2015,2014,Detroit Pistons
NBA,monrogr01,16400000,2015-16,2016,2015,Milwaukee Bucks
NBA,monrogr01,17100000,2016-17,2017,2016,Milwaukee Bucks
NBA,monrogr01,16384175,2017-18,2018,2017,Phoenix Suns
NBA,monrogr01,5000000,2017-18,2018,2017,Boston Celtics
NBA,monroro01,217000,1991-92,1992,1991,Atlanta Hawks
NBA,montrer01,800000,1994-95,1995,1994,Boston Celtics
NBA,montrer01,1040000,1995-96,1996,1995,Boston Celtics
NBA,montrer01,1280000,1996-97,1997,1996,Dallas Mavericks
NBA,montrer01,1520000,1997-98,1998,1997,Philadelphia 76ers
NBA,montrer01,1760000,1998-99,1999,1998,Detroit Pistons
NBA,montrer01,2000000,1999-00,2000,1999,Detroit Pistons
NBA,montrer01,2240000,2000-01,2001,2000,Detroit Pistons
NBA,montrer01,2480000,2001-02,2002,2001,Toronto Raptors
NBA,montrer01,2720000,2002-03,2003,2002,Toronto Raptors
NBA,montrer01,2960000,2003-04,2004,2003,Toronto Raptors
NBA,moonja01,427163,2007-08,2008,2007,Toronto Raptors
NBA,moonja01,711517,2008-09,2009,2008,Miami Heat
NBA,moonja01,2750000,2009-10,2010,2009,Cleveland Cavaliers
NBA,moonja01,3000000,2010-11,2011,2010,Los Angeles Clippers
NBA,mooreet01,473604,2011-12,2012,2011,Boston Celtics
NBA,mooreet01,762195,2012-13,2013,2012,Orlando Magic
NBA,mooreet01,884293,2013-14,2014,2013,Orlando Magic
NBA,mooreet01,948163,2014-15,2015,2014,Chicago Bulls
NBA,mooreet01,1015421,2015-16,2016,2015,Chicago Bulls
NBA,mooreet01,8081363,2016-17,2017,2016,New Orleans Pelicans
NBA,mooreet01,8445024,2017-18,2018,2017,New Orleans Pelicans
NBA,moorejo01,200000,1984-85,1985,1984,San Antonio Spurs
NBA,moorejo01,350000,1985-86,1986,1985,San Antonio Spurs
NBA,mooremi01,460000,1999-00,2000,1999,Detroit Pistons
NBA,mooremi01,2850000,2000-01,2001,2000,Detroit Pistons
NBA,mooremi01,2531250,2001-02,2002,2001,Detroit Pistons
NBA,mooremi01,2412500,2002-03,2003,2002,Detroit Pistons
NBA,mooremi01,46642,2002-03,2003,2002,Boston Celtics
NBA,mooremi01,513000,2003-04,2004,2003,New Jersey Nets
NBA,mooremi01,870046,2004-05,2005,2004,Los Angeles Clippers
NBA,mooremi01,1020000,2005-06,2006,2005,Seattle SuperSonics
NBA,mooremi01,1071225,2006-07,2007,2006,New Jersey Nets
NBA,mooremi01,5356000,2007-08,2008,2007,Sacramento Kings
NBA,mooremi01,5632200,2008-09,2009,2008,Sacramento Kings
NBA,mooremi01,2000000,2009-10,2010,2009,Sacramento Kings
NBA,mooremi01,537952,2009-10,2010,2009,Golden State Warriors
NBA,moorero01,75000,1987-88,1988,1987,Phoenix Suns
NBA,mooretr01,250000,1992-93,1993,1992,Dallas Mavericks
NBA,mooretr01,40000,1993-94,1994,1993,Detroit Pistons
NBA,mooretr01,247500,1996-97,1997,1996,Houston Rockets
NBA,moreler01,507336,2014-15,2015,2014,Sacramento Kings
NBA,moreler01,845059,2015-16,2016,2015,Sacramento Kings
NBA,moreler01,1739333,2017-18,2018,2017,Detroit Pistons
NBA,mornida01,43000,1993-94,1994,1993,Dallas Mavericks
NBA,morrich01,625000,1988-89,1989,1988,New Jersey Nets
NBA,morrich01,750000,1990-91,1991,1990,New Jersey Nets
NBA,morrich01,650000,1991-92,1992,1991,New Jersey Nets
NBA,morrich01,1510000,1992-93,1993,1992,New Jersey Nets
NBA,morrich01,1785000,1993-94,1994,1993,New Jersey Nets
NBA,morrich01,2060000,1994-95,1995,1994,New Jersey Nets
NBA,morrich01,2500000,1995-96,1996,1995,Utah Jazz
NBA,morrich01,2500000,1996-97,1997,1996,Utah Jazz
NBA,morrich01,3000000,1997-98,1998,1997,Utah Jazz
NBA,morrich01,1000000,1998-99,1999,1998,Phoenix Suns
NBA,morrida01,473604,2011-12,2012,2011,Los Angeles Lakers
NBA,morrida01,962195,2012-13,2013,2012,Los Angeles Lakers
NBA,morrida01,1046269,2013-14,2014,2013,Philadelphia 76ers
NBA,morrida01,702756,2014-15,2015,2014,Brooklyn Nets
NBA,morriis01,140000,1992-93,1993,1992,Detroit Pistons
NBA,morrija01,193536,2017-18,2018,2017,Atlanta Hawks
NBA,morrima03,1823280,2011-12,2012,2011,Houston Rockets
NBA,morrima03,1959960,2012-13,2013,2012,Phoenix Suns
NBA,morrima03,1987320,2013-14,2014,2013,Phoenix Suns
NBA,morrima03,2943221,2014-15,2015,2014,Phoenix Suns
NBA,morrima03,5000000,2015-16,2016,2015,Detroit Pistons
NBA,morrima03,4625000,2016-17,2017,2016,Detroit Pistons
NBA,morrima03,5000000,2017-18,2018,2017,Boston Celtics
NBA,morrima02,1919160,2011-12,2012,2011,Phoenix Suns
NBA,morrima02,2063040,2012-13,2013,2012,Phoenix Suns
NBA,morrima02,2091840,2013-14,2014,2013,Phoenix Suns
NBA,morrima02,2989239,2014-15,2015,2014,Phoenix Suns
NBA,morrima02,8000000,2015-16,2016,2015,Washington Wizards
NBA,morrima02,7400000,2016-17,2017,2016,Washington Wizards
NBA,morrima02,8000000,2017-18,2018,2017,Washington Wizards
NBA,morrira01,810000,2007-08,2008,2007,New York Knicks
NBA,morrira01,797581,2008-09,2009,2008,Atlanta Hawks
NBA,morrira01,855189,2009-10,2010,2009,Atlanta Hawks
NBA,morrite01,420000,2001-02,2002,2001,Houston Rockets
NBA,morrite01,512435,2002-03,2003,2002,Houston Rockets
NBA,morrite01,835810,2005-06,2006,2005,Orlando Magic
NBA,morriad01,3616680,2006-07,2007,2006,Charlotte Bobcats
NBA,morriad01,3887880,2007-08,2008,2007,Charlotte Bobcats
NBA,morriad01,4159200,2008-09,2009,2008,Los Angeles Lakers
NBA,morriad01,5257229,2009-10,2010,2009,Los Angeles Lakers
NBA,morroan01,442114,2008-09,2009,2008,Golden State Warriors
NBA,morroan01,736420,2009-10,2010,2009,Golden State Warriors
NBA,morroan01,4000000,2010-11,2011,2010,New Jersey Nets
NBA,morroan01,4000000,2011-12,2012,2011,New Jersey Nets
NBA,morroan01,4000000,2012-13,2013,2012,Dallas Mavericks
NBA,morroan01,1027424,2013-14,2014,2013,New Orleans Pelicans
NBA,morroan01,3200000,2014-15,2015,2014,Oklahoma City Thunder
NBA,morroan01,3344000,2015-16,2016,2015,Oklahoma City Thunder
NBA,morroan01,3488000,2016-17,2017,2016,Chicago Bulls
NBA,mortodw01,150000,1994-95,1995,1994,Golden State Warriors
NBA,mortojo01,350000,1990-91,1991,1990,Cleveland Cavaliers
NBA,mortojo01,450000,1991-92,1992,1991,Cleveland Cavaliers
NBA,mortojo01,6735,1999-00,2000,1999,Golden State Warriors
NBA,motenla01,280000,1995-96,1996,1995,Vancouver Grizzlies
NBA,motenla01,321000,1996-97,1997,1996,Vancouver Grizzlies
NBA,motiedo01,1453520,2012-13,2013,2012,Houston Rockets
NBA,motiedo01,1422720,2013-14,2014,2013,Houston Rockets
NBA,motiedo01,1483920,2014-15,2015,2014,Houston Rockets
NBA,motiedo01,2288205,2015-16,2016,2015,Houston Rockets
NBA,motiedo01,576724,2016-17,2017,2016,New Orleans Pelicans
NBA,mottoha01,316969,2000-01,2001,2000,Atlanta Hawks
NBA,mottoha01,465850,2001-02,2002,2001,Atlanta Hawks
NBA,moultar01,1042320,2012-13,2013,2012,Philadelphia 76ers
NBA,moultar01,1089240,2013-14,2014,2013,Philadelphia 76ers
NBA,moultar01,1136160,2014-15,2015,2014,New York Knicks
NBA,mournal01,2400000,1992-93,1993,1992,Charlotte Hornets
NBA,mournal01,3120000,1993-94,1994,1993,Charlotte Hornets
NBA,mournal01,3840000,1994-95,1995,1994,Charlotte Hornets
NBA,mournal01,4560000,1995-96,1996,1995,Miami Heat
NBA,mournal01,9380000,1996-97,1997,1996,Miami Heat
NBA,mournal01,11254800,1997-98,1998,1997,Miami Heat
NBA,mournal01,13130000,1998-99,1999,1998,Miami Heat
NBA,mournal01,15004800,1999-00,2000,1999,Miami Heat
NBA,mournal01,16880000,2000-01,2001,2000,Miami Heat
NBA,mournal01,18754800,2001-02,2002,2001,Miami Heat
NBA,mournal01,20629800,2002-03,2003,2002,Miami Heat
NBA,mournal01,4917000,2003-04,2004,2003,New Jersey Nets
NBA,mournal01,5408700,2004-05,2005,2004,Toronto Raptors
NBA,mournal01,4000000,2005-06,2006,2005,Toronto Raptors
NBA,mournal01,1138500,2005-06,2006,2005,Miami Heat
NBA,mournal01,4225433,2006-07,2007,2006,Toronto Raptors
NBA,mournal01,2500000,2006-07,2007,2006,Miami Heat
NBA,mournal01,2762500,2007-08,2008,2007,Miami Heat
NBA,mozgoti01,3567096,2010-11,2011,2010,Denver Nuggets
NBA,mozgoti01,3343896,2011-12,2012,2011,Denver Nuggets
NBA,mozgoti01,3140429,2012-13,2013,2012,Denver Nuggets
NBA,mozgoti01,4400000,2013-14,2014,2013,Denver Nuggets
NBA,mozgoti01,4650000,2014-15,2015,2014,Cleveland Cavaliers
NBA,mozgoti01,4950000,2015-16,2016,2015,Cleveland Cavaliers
NBA,mozgoti01,16000000,2016-17,2017,2016,Los Angeles Lakers
NBA,mozgoti01,15280000,2017-18,2018,2017,Brooklyn Nets
NBA,mudiaem01,3102240,2015-16,2016,2015,Denver Nuggets
NBA,mudiaem01,3241800,2016-17,2017,2016,Denver Nuggets
NBA,mudiaem01,3381480,2017-18,2018,2017,New York Knicks
NBA,muhamsh01,1887120,2013-14,2014,2013,Minnesota Timberwolves
NBA,muhamsh01,1971960,2014-15,2015,2014,Minnesota Timberwolves
NBA,muhamsh01,2056920,2015-16,2016,2015,Minnesota Timberwolves
NBA,muhamsh01,3046299,2016-17,2017,2016,Minnesota Timberwolves
NBA,muhamsh01,1238616,2017-18,2018,2017,Minnesota Timberwolves
NBA,muhamsh01,324203,2017-18,2018,2017,Milwaukee Bucks
NBA,mulleby01,1120200,2009-10,2010,2009,Oklahoma City Thunder
NBA,mulleby01,1204200,2010-11,2011,2010,Oklahoma City Thunder
NBA,mulleby01,1288200,2011-12,2012,2011,Charlotte Bobcats
NBA,mulleby01,2253306,2012-13,2013,2012,Charlotte Bobcats
NBA,mulleby01,947907,2013-14,2014,2013,Los Angeles Clippers
NBA,mullich01,500000,1985-86,1986,1985,Golden State Warriors
NBA,mullich01,800000,1987-88,1988,1987,Golden State Warriors
NBA,mullich01,700000,1988-89,1989,1988,Golden State Warriors
NBA,mullich01,3330000,1989-90,1990,1989,Golden State Warriors
NBA,mullich01,2850000,1990-91,1991,1990,Golden State Warriors
NBA,mullich01,2844000,1991-92,1992,1991,Golden State Warriors
NBA,mullich01,2844000,1992-93,1993,1992,Golden State Warriors
NBA,mullich01,2844000,1993-94,1994,1993,Golden State Warriors
NBA,mullich01,2844000,1994-95,1995,1994,Golden State Warriors
NBA,mullich01,2844000,1995-96,1996,1995,Golden State Warriors
NBA,mullich01,2844000,1996-97,1997,1996,Golden State Warriors
NBA,mullich01,2941500,1997-98,1998,1997,Indiana Pacers
NBA,mullich01,3510000,1998-99,1999,1998,Indiana Pacers
NBA,mullich01,4079100,1999-00,2000,1999,Indiana Pacers
NBA,mullich01,3650000,2000-01,2001,2000,Indiana Pacers
NBA,mullich01,1000000,2000-01,2001,2000,Golden State Warriors
NBA,mundtto01,9660,1994-95,1995,1994,Milwaukee Bucks
NBA,mundtto01,225000,1995-96,1996,1995,Atlanta Hawks
NBA,murdoer01,600000,1991-92,1992,1991,Utah Jazz
NBA,murdoer01,700000,1992-93,1993,1992,Milwaukee Bucks
NBA,murdoer01,800000,1993-94,1994,1993,Milwaukee Bucks
NBA,murdoer01,1000000,1994-95,1995,1994,Milwaukee Bucks
NBA,murdoer01,2000000,1995-96,1996,1995,Vancouver Grizzlies
NBA,murdoer01,272250,1997-98,1998,1997,Miami Heat
NBA,murdoer01,1750000,1998-99,1999,1998,New Jersey Nets
NBA,murdoer01,1925000,1999-00,2000,1999,Los Angeles Clippers
NBA,murdoer01,2100000,2000-01,2001,2000,Detroit Pistons
NBA,muresgh01,500000,1993-94,1994,1993,Washington Bullets
NBA,muresgh01,1150000,1994-95,1995,1994,Washington Bullets
NBA,muresgh01,1963000,1995-96,1996,1995,Washington Bullets
NBA,muresgh01,2363000,1996-97,1997,1996,Washington Bullets
NBA,muresgh01,1887500,1997-98,1998,1997,Washington Wizards
NBA,muresgh01,475000,1998-99,1999,1998,New Jersey Nets
NBA,muresgh01,510000,1999-00,2000,1999,New Jersey Nets
NBA,murpher01,100000,2014-15,2015,2014,Boston Celtics
NBA,murphja01,130000,1985-86,1986,1985,Los Angeles Clippers
NBA,murphja01,150000,1987-88,1988,1987,Washington Bullets
NBA,murphke01,473604,2012-13,2013,2012,Utah Jazz
NBA,murphke01,65000,2014-15,2015,2014,Utah Jazz
NBA,murphro01,191666,1987-88,1988,1987,Portland Trail Blazers
